Station ID,Station Name,Zip Code
USC00420061,"ALPINE, UT US",84004
USR0000NLPT,"NORTH LONG POINT, UT US",84535
USR0000JENS,"JENSEN SPRING BERYL, UT US",84714
USR0000BUES,"BUES CANYON, UT US",84403
USS0012M23S,"MIDWAY VALLEY, UT US",84762
USC00420738,"BLANDING, UT US",84511
USR0000MUDS,"MUD SPRING EUREKA, UT US",84628
USW00023170,"HANKSVILLE, UT US",84734
USS0011J68S,"PARRISH CREEK, UT US",84014
USC00420730,"BLACK ROCK, UT US",84751
USC00429045,"VALLEY OF THE GODS, UT US",84531
USS0011J56S,"THAYNES CANYON, UT US",84060
USC00426053,"NATURAL BRIDGES N.M., UT US",84533
USS0011J32S,"CURRANT CREEK, UT US",84032
USC00428476,"SUNNYSIDE CITY, UT US",84539
USW00004134,"GRANITE PEAK DUGWAY, UT US",84022
USC00421020,"BULLFROG BASIN, UT US",84533
USC00420072,"ALTA, UT US",84092
US1UTML0013,"MEADOW 0.1 E, UT US",84644
USC00423600,"HANS FLAT RANGER STATION, UT US",84734
USS0011H30S,"BEN LOMOND TRAIL, UT US",84414
USS0012L15S,"PINE CREEK, UT US",84725
US1UTBE0014,"BRIGHAM CITY 0.6 W, UT US",84302
USR0000ARAG,"ARAGONITE, UT US",84029
US1UTIR0005,"CEDAR CITY 4.4 SW, UT US",84720
USS0011J57S,"BRIGHTON, UT US",84121
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",84004
USS0009J08S,"HICKERSON PARK, UT US",84046
USC00425377,"MANILA, UT US",84046
USS0010K06S,"TIMBERLINE, UT US",84310
USR0000HORS,"HORSE HOLLOW COVE FORT, UT US",84713
USS0012M05S,"HARRIS FLAT, UT US",84735
USC00427559,"SALINA 24 E, UT US",84654
USC00427714,"SCIPIO, UT US",84656
USC00426869,"PINEVIEW DAM, UT US",84317
US1UTWB0003,"WEST WEBER 1.0 ESE, UT US",84401
USC00421168,"CANYONLANDS THE NEEDLES, UT US",84535
USS0011H08S,"BEN LOMOND PEAK, UT US",84310
US1UTWG0021,"IVINS 1.5 SE, UT US",84738
US1UTSL0104,"SALT LAKE CITY 8.3 WSW, UT US",84044
USS0011J70S,"CASCADE MOUNTAIN, UT US",84097
USC00427942,"SNYDERVILLE, UT US",84098
US1UTSJ0009,"BLANDING 0.3 WSW, UT US",84511
US1UTSL0079,"SALT LAKE CITY 1.8 SE, UT US",84105
USS0012M06S,"LONG VALLEY JCT, UT US",84735
USR0000CEDM,"CEDAR MOUNTAINS STOCKTON, UT US",84071
USC00428119,"SPANISH FORK POWER HOUSE, UT US",84660
USC00420928,"BRIGHAM CITY WASTE PLANT, UT US",84302
USC00422828,"FILLMORE, UT US",84631
USC00422389,"EDEN, UT US",84310
US1UTSL0117,"MURRAY 1.8 SE, UT US",84107
USC00425892,"MOUNTAIN DELL DAM, UT US",84109
USC00420086,"ALTON, UT US",84710
USC00426644,"PARK CITY, UT US",84060
USC00426405,"OGDEN NE BENCH, UT US",84403
USR0000AQUA,"AQUA CANYON BRYCE CANYON, UT US",84764
USC00424508,"KANAB, UT US",84741
USS0012M03S,"WEBSTER FLAT, UT US",84721
USS0011J08S,"STRAWBERRY DIVIDE, UT US",84032
USR0000JOES,"JOES VALLEY, UT US",84537
USC00427064,"PROVO BYU, UT US",84602
USS0009M02S,"CAMP JACKSON, UT US",84535
USS0010M01S,"LONESOME BEAVER, UT US",84734
USS0011J64S,"LOOKOUT PEAK, UT US",84108
USC00427846,"SILVER LAKE BRIGHTON, UT US",84121
USS0011J52S,"PARLEY S SUMMIT, UT US",84098
US1UTWB0001,"WEST HAVEN 2.0 SW, UT US",84401
USW00093129,"CEDAR CITY AIRPORT, UT US",84721
USC00421759,"COTTONWOOD WEIR, UT US",84121
USS0013M07S,"GARDNER PEAK, UT US",84781
USC00420788,"BLUFF, UT US",84512
USC00429595,"WOODRUFF, UT US",84086
USS0011H07S,"GARDEN CITY SUMMIT, UT US",84028
USS0011J65S,"MILL D NORTH, UT US",84121
USC00426640,"PARIA RANGER STATION, UT US",84741
USR0000KANE,"KANE GULCH BLANDING, UT US",84511
US1UTSL0025,"COTTONWOOD HEIGHTS 1.6 SE, UT US",84093
US1UTDV0042,"CLINTON 0.9 WNW, UT US",84015
USR0000ASSA,"ASSAY HATCH 10 SW, UT US",84735
USS0010K02S,"WHITE RIVER NUMBER 1, UT US",84501
US1UTWS0006,"HEBER CITY 2.4 SSE, UT US",84032
USS0011K39S,"PICKLE KEG, UT US",84526
US1UTWS0008,"HEBER CITY 10.1 ESE, UT US",84032
USW00093141,"PRICE CARBON CO AIRPORT, UT US",84501
US1UTBE0008,"GARLAND 1.0 SE, UT US",84312
USC00422578,"EPHRAIM, UT US",84627
USW00024127,"SLC INTERNATIONAL AIRPORT, UT US",84122
USW00024126,"OGDEN HINKLEY AIRPORT, UT US",84405
US1UTUT0032,"OREM 1.4 ESE, UT US",84097
USR0000BLAC,"BLACK CEDAR FILMORE 5 E, UT US",84631
USR0000TELE,"TELEGRAPH FLAT KANAB 17 E, UT US",84741
US1UTBE0002,"BRIGHAM CITY 1.2 N, UT US",84302
USC00421260,"CEDAR CITY 5 E, UT US",84721
US1UTSL0035,"HOLLADAY 0.5 ESE, UT US",84117
USC00424755,"KODACHROME BASIN PARK, UT US",84735
USR0000BRUN,"BRUIN POINT SUNNYSIDE 6 NNE, UT US",84539
USS0012M26S,"AGUA CANYON, UT US",84717
USC00420688,"BIG WATER, UT US",84741
USC00421259,"CEDAR CITY, UT US",84721
USC00422864,"FLAMING GORGE, UT US",84023
USS0011J23S,"DANIELS STRAWBERRY, UT US",84032
USS0013M05S,"KOLOB, UT US",84779